# Event_ID epsilon2 phi2
2803 0.446237 1.250320
2804 0.818875 -1.240960
2807 0.410489 0.309002
2810 0.308740 0.691890
2813 0.419066 -1.517760
2815 0.329038 0.937432
2818 0.455278 -1.025950
2820 0.387209 0.563099
2824 0.513690 0.926270
2832 0.489329 -1.070520
2840 0.132198 -0.673301
2842 0.615150 1.502270
2844 0.480533 -0.411175
2848 0.595832 -0.309722
2850 0.391198 0.587113
2855 0.476328 -0.807264
2863 0.619522 -1.273750
2864 0.369244 -1.054340
2872 0.403887 -0.620616
2874 0.667170 0.941629
2875 0.493601 0.607084
2878 0.353268 0.762144
2895 0.523078 1.510090
2896 0.404329 0.150345
2899 0.378765 0.348963
2907 0.165078 -0.246776
2910 0.533488 0.700557
2911 0.627013 -0.161248
2912 0.433141 1.239400
2923 0.588296 -1.424590
2927 0.496855 0.518715
2928 0.501557 -1.170000
2932 0.292522 -1.259700
2940 0.278054 1.407810
2941 0.512476 0.501118
2948 0.517224 1.347900
2949 0.567870 -0.395371
2954 0.193844 -0.582286
2958 0.365284 0.164194
2968 0.617826 0.352413
2981 0.215202 1.401760
2986 0.623665 -1.256150
2988 0.518236 -0.419822
2990 0.109594 -0.602303
2994 0.380573 1.403190
