# Event_ID epsilon2 phi2
529 0.138667 1.490680
530 0.283494 1.275690
531 0.040095 1.234220
532 0.146237 -1.337220
533 0.171135 0.293113
535 0.388745 -1.293140
536 0.164420 1.018600
537 0.687223 -1.290730
538 0.460427 -0.513476
539 0.080940 -0.328331
540 0.065832 -1.135350
541 0.154352 -0.227477
542 0.733538 -0.725577
543 0.889384 0.988829
544 0.202873 -1.082950
545 0.299174 0.588915
546 0.086369 1.561170
547 0.177512 1.548090
548 0.056169 -0.227209
549 0.138732 -1.008970
550 0.618319 -1.472580
551 0.102285 0.754462
552 0.454557 -0.916912
553 0.419653 -1.319710
554 0.219888 1.403430
555 0.312366 1.508800
556 0.595301 0.134090
557 0.412372 1.388350
558 0.481609 0.624474
559 0.060508 1.403740
560 0.365745 -0.228267
561 0.201154 -0.339827
562 0.266420 1.179420
563 0.700687 0.817073
564 0.245044 0.484049
565 0.310169 0.262543
566 0.175928 -1.554430
567 0.550626 0.067171
568 0.118805 -1.482390
569 0.583774 -0.298470
570 0.111121 0.278991
571 0.823925 -1.434790
572 0.445104 -1.435520
573 0.608964 -1.261230
574 0.608166 -1.149250
576 0.238665 -0.617038
577 0.593922 -0.200789
579 0.791635 0.033808
580 0.454005 0.002454
581 0.270283 -0.662169
582 0.796802 0.508623
583 0.366125 0.806147
584 0.842880 0.909363
585 0.210754 -1.039440
587 0.353959 -0.641005
588 0.201532 -0.550842
589 0.749744 -1.527120
590 0.100071 0.406647
591 0.522538 -0.334623
592 0.530473 -0.465761
593 0.062171 1.372400
594 0.739110 -0.152293
595 0.408088 1.527820
596 0.386739 -0.444151
597 0.427209 0.189329
598 0.185274 0.777483
599 0.844320 -0.586618
600 0.333062 -1.117540
601 0.319813 0.388153
602 0.307407 -0.335504
603 0.432377 0.702773
604 0.446390 -0.071212
605 0.740641 -0.162412
606 0.183806 -0.361279
607 0.182398 -0.587044
608 0.856777 0.370287
609 0.594687 0.628603
610 0.570480 1.021370
611 0.425583 1.415990
612 0.379328 0.913802
613 0.189175 0.942018
614 0.032193 0.123064
615 0.090105 -1.114040
616 0.568934 0.273453
617 0.191636 -0.971164
618 0.665392 -0.516300
619 0.469819 1.384000
620 0.424824 1.454470
621 0.476717 -0.179355
622 0.510971 -0.386979
623 0.120449 1.543640
624 0.385286 1.423090
625 0.576135 0.190115
626 0.137308 -0.085978
627 0.219585 -0.767925
628 0.318429 -0.116350
629 0.289957 1.562320
630 0.672864 0.562005
631 0.817211 -0.530015
632 0.583777 1.330170
633 0.089440 1.394060
634 0.301347 0.575501
635 0.750378 0.530418
636 0.246461 0.610054
637 0.777450 0.564829
638 0.873062 -1.193750
639 0.752970 1.477200
640 0.482242 0.319686
641 0.271583 0.953711
642 0.293416 1.240460
643 0.719545 1.272010
644 0.209957 -0.520604
645 0.208345 -1.193860
646 0.511745 0.451324
647 0.247243 0.834621
648 0.028275 -1.288810
649 0.348232 -0.116630
650 0.150490 -1.534430
651 0.409388 1.338230
652 0.748196 -0.906870
653 0.457063 -0.847469
654 0.040650 1.327670
655 0.143317 0.547465
656 0.888963 -1.088340
658 0.342762 1.082980
659 0.176191 -0.899760
660 0.318729 -0.511653
661 0.272913 1.171090
662 0.477505 0.887011
663 0.053431 -0.468093
664 0.207709 0.150303
666 0.187753 -1.058940
667 0.557578 0.683844
668 0.366907 -0.247227
669 0.118212 -0.526558
670 0.433473 0.632096
671 0.696722 0.271453
672 0.293609 0.499007
673 0.358580 -0.744908
674 0.839260 1.485790
675 0.225783 0.621860
676 0.798925 -0.359699
677 0.581743 -1.216790
678 0.550470 0.163299
679 0.352422 -1.557550
680 0.079148 0.991614
681 0.277583 0.388011
682 0.582670 -0.226342
683 0.494237 -0.038686
684 0.190112 0.324398
685 0.669493 -0.825992
686 0.064550 0.263879
687 0.652699 -0.342560
688 0.238640 -0.276673
689 0.704099 1.246560
690 0.137721 -1.149230
691 0.982569 0.324991
692 0.587185 -0.345826
693 0.492485 -1.223420
694 0.065074 -1.479500
695 0.294257 -1.277860
696 0.148011 -0.547113
697 0.086767 -0.994593
698 0.598293 -0.213089
699 0.254574 -0.411097
700 0.318784 -0.297325
702 0.404009 0.901643
703 0.502674 -0.608019
704 0.140949 -1.187420
705 0.856861 -0.103165
706 0.627125 -0.444814
707 0.208024 1.493080
708 0.678589 -1.081750
709 0.669612 -0.983765
710 0.120585 -0.993478
711 0.715396 1.222390
712 0.256086 -0.471773
713 0.412182 0.213212
715 0.212320 0.358320
716 0.682099 -0.937167
717 0.864156 0.164766
718 0.057544 -1.348020
719 0.408135 -1.028540
720 0.558065 1.311990
721 0.777238 -1.553770
722 0.300305 0.473024
723 0.654845 1.006880
724 0.818476 0.148386
725 0.232818 -0.219305
726 0.216403 1.205600
727 0.648377 0.903210
728 0.447761 0.382126
729 0.112438 -0.429048
730 0.197659 1.411950
731 0.844737 -0.504612
733 0.720757 -0.263673
734 0.234369 -1.186730
735 0.063235 -0.319729
736 0.836653 -1.467090
737 0.112068 -0.006612
738 0.229726 1.100260
739 0.371021 -0.703506
740 0.446606 -1.481430
741 0.321040 -0.429157
742 0.364508 -0.362725
744 0.165168 0.358001
