# Event_ID q2 Psi_EP epsilon2 phi2
784 4.026964 0.547973 0.622027 -0.850553
785 3.348521 1.092065 0.504420 -0.415681
789 1.807383 -1.226040 0.362142 0.112125
793 2.406744 -0.225314 0.408411 1.421970
795 1.907313 -0.576308 0.363972 1.291430
798 3.212470 1.032602 0.352869 -0.505436
801 3.209033 -1.365345 0.474034 0.439209
802 2.866840 -0.761588 0.510341 0.556157
803 4.550984 -1.399436 0.617241 0.177469
804 2.780747 0.348656 0.564376 -1.313260
806 4.634865 -0.373008 0.658110 1.401290
810 2.459268 0.822460 0.372335 -0.606556
817 4.977449 -1.129091 0.478575 0.938591
819 2.317918 -1.404752 0.580625 0.384922
821 4.411237 0.026787 0.401154 -1.436640
823 0.932601 -0.019562 0.192398 1.342370
825 3.314301 1.533564 0.563554 0.132075
828 4.965979 0.574248 0.592267 -0.967356
830 1.608549 -1.088669 0.239313 0.141828
831 1.414288 -0.374277 0.196381 -1.272690
832 2.727661 1.417114 0.556780 -0.050282
833 4.297318 -1.314859 0.526467 0.472517
834 0.665588 0.066307 0.101517 1.066120
836 3.868068 -0.423470 0.517825 1.213960
839 3.407990 0.784573 0.389957 -0.635947
844 3.424477 -0.106031 0.359857 -1.367120
850 4.853302 0.014109 0.409491 -1.566470
851 2.370426 -1.447983 0.522842 -0.040264
852 2.308095 1.044629 0.368615 -0.763302
856 3.120193 1.306373 0.490448 -0.278586
864 4.239419 1.391864 0.601127 -0.076059
878 3.446413 -1.070951 0.355338 0.269981
881 2.895422 0.222252 0.549766 -1.252090
885 3.283891 0.715071 0.439094 -1.008350
888 2.915577 0.553842 0.557208 -1.090270
896 4.775708 -0.220101 0.507727 1.291750
900 1.445960 1.042470 0.288288 -0.935626
902 3.432665 -0.304383 0.631247 1.283000
906 3.227020 0.298594 0.276006 -0.964523
907 1.094959 0.027546 0.514638 1.134430
909 2.587417 0.725954 0.389471 -0.984267
910 3.150647 0.867043 0.741670 -0.447388
912 2.734357 1.145368 0.627378 -0.454149
913 3.019981 0.255225 0.518898 -1.309480
914 3.111106 0.175035 0.693138 -1.148780
915 2.524072 -0.502936 0.411979 0.740555
916 4.184441 -0.311113 0.397715 1.254900
919 4.712274 1.371039 0.485554 -0.221862
920 3.333698 1.127634 0.469925 -0.596813
924 2.296931 1.207265 0.364252 -0.297759
929 2.272856 1.313975 0.550514 -0.268118
930 1.571664 1.381902 0.151063 -0.340679
932 2.520731 -0.210845 0.458708 1.358860
933 2.046533 -0.059784 0.407808 1.299880
934 2.136542 -0.664610 0.395057 0.920205
941 5.470595 -0.034662 0.594509 1.495220
942 0.269934 0.617349 0.273400 -0.036996
946 1.317196 0.457358 0.397311 -1.550890
950 4.649480 -0.049719 0.600924 -1.429910
951 4.657847 -1.035837 0.471624 0.492440
952 4.203026 -0.085683 0.329502 1.114520
958 3.261954 -0.744828 0.516861 0.644652
959 3.930746 0.401303 0.682637 -1.218060
961 3.703301 -0.928984 0.237411 0.715850
