# Event_ID q2 Psi_EP
303 2.365854 1.301304 
303 3.289768 1.10906 
304 4.174497 -1.044304 
305 2.796183 -0.31704 
308 1.915146 -0.109235 
312 1.909518 0.684886 
314 3.275022 -0.869417 
317 5.166278 1.371711 
324 3.627629 0.09231 
326 2.134787 -0.075106 
328 2.082443 0.240859 
334 5.852484 0.058198 
334 2.732804 -0.37165 
341 0.865441 -1.203476 
341 2.243392 0.172617 
342 3.113898 0.578254 
343 2.726109 -1.342019 
352 0.175412 -0.922413 
353 5.709051 -0.342816 
354 2.050038 0.723949 
358 2.030552 -0.104163 
365 6.330859 -0.769768 
366 4.281976 -1.355061 
367 3.754925 -0.676455 
376 2.271794 1.114896 
377 3.804329 0.766392 
379 1.179908 1.382276 
379 3.157917 -1.536058 
381 3.643307 -0.164532 
381 2.351805 -0.794465 
382 1.949708 -0.905797 
391 2.518424 -0.431506 
391 4.716892 1.384125 
394 3.047857 1.063606 
400 2.261863 -0.147711 
403 3.602386 -0.223853 
404 2.775388 -1.194449 
405 1.473219 -0.821347 
406 3.612828 1.459812 
408 2.63243 1.375343 
412 2.247455 -1.407531 
414 4.993022 -1.444316 
420 1.943062 -0.211086 
420 1.966502 -0.721542 
421 2.932713 1.560289 
426 4.240162 -1.304687 
427 2.118266 0.191105 
427 3.984557 -0.768786 
436 4.92786 -1.525235 
438 2.629246 -1.450918 
440 1.505555 0.455809 
441 1.470753 0.911001 
444 2.995312 1.132823 
447 3.291642 -0.403139 
449 1.444454 0.173151 
461 1.993494 0.300618 
462 1.868664 -0.897634 
475 4.521397 -1.279364 
476 2.916565 1.191731 
477 0.71504 -1.189277 
479 1.852225 0.196138 
484 3.108058 1.441442 
490 4.929462 -0.131947 
492 2.036982 -0.879201 
493 3.012686 -1.057862 
493 1.074543 -0.641349 
495 2.535451 1.039398 
498 3.327065 1.00987 
499 3.482893 0.529581 
501 2.28543 0.328275 
502 3.370953 -1.448209 
507 3.854862 0.395734 
508 2.984571 -0.054271 
509 2.959541 0.927488 
512 1.983854 1.065742 
513 1.657617 -1.047394 
515 1.938945 -1.474233 
518 5.043928 1.500531 
519 4.755423 0.395669 
520 2.747627 0.3693 
524 3.469544 -1.264233 
524 2.418457 0.500438 
526 1.957283 0.011301 
528 3.134957 0.147951 
534 3.544137 0.319496 
534 3.339327 -1.354744 
535 1.270105 0.402615 
536 4.926164 1.056954 
550 1.787987 -0.0319 
556 4.059377 -1.477708 
569 5.276661 1.204816 
575 3.25176 0.438425 
575 4.25661 -0.583275 
578 3.839769 -0.764169 
578 1.421597 -1.525173 
579 3.282722 0.486219 
581 2.781288 -1.463389 
583 2.722335 -0.81486 
586 4.143407 0.667996 
586 1.315219 -1.124721 
590 4.962416 1.091069 
591 2.86089 1.311424 
595 1.11467 -0.256349 
596 2.443224 0.915149 
600 1.647437 0.78831 
601 1.895272 -1.335919 
602 2.839316 1.23843 
604 3.999666 1.039979 
607 3.432915 -0.081317 
613 1.977791 -0.633426 
616 2.47956 -0.750478 
617 1.699472 1.375526 
619 3.30037 -0.255081 
622 3.515374 1.037394 
625 3.073865 -1.382174 
627 4.225969 -0.469689 
628 1.622081 1.274145 
632 6.378691 -0.23339 
636 2.006118 -1.429933 
639 3.726831 1.5245 
646 3.060401 0.714402 
649 1.798633 1.378657 
651 1.328967 -0.881753 
652 0.994584 -0.591775 
